,Unnamed: 0,release_date,Title,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre,Director,Writer,Actors,Runtime,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,BoxOffice
649,650,5/31/1996,Dragonheart,57000000,51364680,104364680,Universal,PG-13,Adventure,Rob Cohen,"Patrick Read Johnson, Charles Edward Pogue","Dennis Quaid, Sean Connery, Dina Meyer",103 min,English,United States,Nominated for 1 Oscar. 3 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BZGYzMjk3M2MtZDZlYi00YjhmLWFmMmItYjRiMjk4ZWI2N2Q5XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,49,6.4,"100,545","$51,367,375 "
650,651,11/12/2004,After the Sunset,57000000,28328132,38329114,New Line,PG-13,Action,Brett Ratner,"Paul Zbyszewski, Craig Rosenberg","Pierce Brosnan, Salma Hayek, Woody Harrelson",97 min,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNmZkOGM5NjUtMDM1MC00NDNmLWI1NzItOWFjOTczYmIxOTIyXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,38,6.2,"49,259","$28,331,233 "
651,652,8/17/2001,Captain Corelli's Mandolin,57000000,25528495,62097495,Miramax,R,Drama,John Madden,"Shawn Slovo, Louis de Bernières","Nicolas Cage, Penélope Cruz, John Hurt",131 min,"English, Greek, German, Italian","United Kingdom, France, United States",2 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BNzc0MmRmZDAtZWRjYi00ODM3LTllZDEtNjljMjNiMzgxZDcyXkEyXkFqcGdeQXVyNzQ5MzY0NjM@._V1_SX300.jpg,36,5.9,"35,487","$25,543,895 "
652,653,4/11/2003,Anger Management,56000000,135560942,195660942,Sony Pictures,PG-13,Comedy,Peter Segal,David Dorfman,"Jack Nicholson, Adam Sandler, Marisa Tomei",106 min,English,United States,2 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BMDg1YTNiODItZGYyOC00NGIwLWI3MjYtMTY3NDQ0ZDIwYjBiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,52,6.2,"224,294","$135,645,823 "
653,654,3/4/2005,The Pacifier,56000000,113006880,198006880,Walt Disney,PG,Comedy,Adam Shankman,"Thomas Lennon, Robert Ben Garant","Vin Diesel, Brittany Snow, Max Thieriot",95 min,"English, Korean",United States,1 win & 10 nominations,https://m.media-amazon.com/images/M/MV5BMTE5MTcxOTQxNl5BMl5BanBnXkFtZTYwMzk3Nzg2._V1_SX300.jpg,30,5.6,"99,001","$113,086,868 "
654,655,4/2/2004,Walking Tall,56000000,46213824,47313824,MGM,PG-13,Action,Kevin Bray,"Mort Briskin, David Klass, Channing Gibson","Dwayne Johnson, Ashley Scott, Johnny Knoxville",86 min,English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BMTM0MjYzNzM1N15BMl5BanBnXkFtZTcwMDcwNDc3NA@@._V1_SX300.jpg,44,6.3,"108,755","$46,437,717 "
655,656,7/6/1994,Forrest Gump,55000000,330151138,679850637,Paramount Pictures,PG-13,Drama,Robert Zemeckis,"Winston Groom, Eric Roth","Tom Hanks, Robin Wright, Gary Sinise",142 min,English,United States,Won 6 Oscars. 50 wins & 74 nominations total,https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,82,8.8,"2,183,967","$330,455,270 "
656,657,12/14/2007,Alvin and the Chipmunks,55000000,217326974,362605033,20th Century Fox,PG,Adventure,Tim Hill,"Jon Vitti, Will McRobb, Chris Viscardi","Jason Lee, Ross Bagdasarian Jr., Janice Karman",92 min,"English, French, Spanish, Japanese","United States, Canada",4 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMjdmNWY4MjItMjBiMi00MWNiLWI0ZjctYzBjZmEzOGRmNTc5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,39,5.2,"91,962","$217,326,974 "
657,658,10/6/2000,Meet the Parents,55000000,166225040,330425040,Universal,PG-13,Comedy,Jay Roach,"Greg Glienna, Mary Ruth Clarke, Jim Herzfeld","Ben Stiller, Robert De Niro, Teri Polo",108 min,"English, Thai, Spanish, Hebrew, French",United States,Nominated for 1 Oscar. 7 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BMGNlMGZiMmUtZjU0NC00MWU4LWI0YTgtYzdlNGVhZGU4NWZlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,73,7,"348,010","$166,244,045 "
658,659,12/15/2006,The Pursuit of Happyness,55000000,162586036,307311093,Sony Pictures,PG-13,Drama,Gabriele Muccino,Steve Conrad,"Will Smith, Thandiwe Newton, Jaden Smith",117 min,"English, Cantonese",United States,Nominated for 1 Oscar. 12 wins & 26 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ5NjQ0NDI3NF5BMl5BanBnXkFtZTcwNDI0MjEzMw@@._V1_SX300.jpg,64,8,"543,576","$163,566,459 "
659,660,6/10/1995,Pocahontas,55000000,141579773,347100000,Walt Disney,G,Adventure,"Mike Gabriel, Eric Goldberg","Carl Binder, Susannah Grant, Philip LaZebnik","Mel Gibson, Linda Hunt, Christian Bale",81 min,"English, Algonquin","United States, Japan",Won 2 Oscars. 15 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BMzc4YzhiN2ItY2Y4NC00YTA0LWEyMjEtNzllNTcxZDdjODhiXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,58,6.7,"198,138","$141,579,773 "
660,661,12/15/1978,Superman,55000000,134218018,300200000,Warner Bros.,PG,Adventure,Richard Donner,"Jerry Siegel, Joe Shuster, Mario Puzo","Christopher Reeve, Margot Kidder, Gene Hackman",143 min,English,"United States, United Kingdom, Canada",Nominated for 3 Oscars. 17 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BMzA0YWMwMTUtMTVhNC00NjRkLWE2ZTgtOWEzNjJhYzNiMTlkXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,82,7.4,"183,558","$134,478,449 "
661,662,6/28/1996,The Nutty Professor,55000000,128814019,273814019,Universal,PG-13,Comedy,Tom Shadyac,"Jerry Lewis, Bill Richmond, David Sheffield","Eddie Murphy, Jada Pinkett Smith, James Coburn",95 min,English,United States,Won 1 Oscar. 10 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BMTcwODlmZDktNWRkOC00NTFlLTkyMjQtYWUxMzZkNDE4MGVmXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,62,5.7,"121,773","$128,814,019 "
662,663,2/10/2017,Fifty Shades Darker,55000000,114434010,381437482,Universal,R,Drama,James Foley,"Niall Leonard, E.L. James","Dakota Johnson, Jamie Dornan, Eric Johnson",118 min,English,"United States, China, Japan",3 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BMTQ5NTk0Njg2N15BMl5BanBnXkFtZTgwNzk5Nzk3MDI@._V1_SX300.jpg,33,4.6,"108,375","$114,581,250 "
663,664,10/11/2013,Captain Phillips,55000000,107136417,220648184,Sony Pictures,PG-13,Drama,Paul Greengrass,"Billy Ray, Richard Phillips, Stephan Talty","Tom Hanks, Barkhad Abdi, Barkhad Abdirahman",134 min,"English, Somali",United States,Nominated for 6 Oscars. 16 wins & 154 nominations total,https://m.media-amazon.com/images/M/MV5BODhiZWRhMjctNDUyMS00NmUwLTgwYmItMjJhOWNkZWQ3ZTQxXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,82,7.8,"481,580","$107,100,855 "
664,665,7/16/1997,George Of The Jungle,55000000,105263257,174463257,Walt Disney,PG,Adventure,Sam Weisman,"Jay Ward, Dana Olsen, Audrey Wells","Brendan Fraser, Leslie Mann, Thomas Haden Church",92 min,"English, Spanish",United States,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BNTdiM2VjYjYtZjEwNS00ZWU5LWFkZGYtZGYxMDcwMzY1OTEzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTczNjQwOTY@._V1_SX300.jpg,53,5.5,"82,888","$105,263,257 "
665,666,8/1/2003,American Wedding,55000000,104354205,126425115,Universal,R,Comedy,Jesse Dylan,Adam Herz,"Jason Biggs, Alyson Hannigan, Seann William Scott",96 min,English,"United States, Germany",3 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BMTAwNTIzNDk1MDVeQTJeQWpwZ15BbWU3MDMwNzAwMDE@._V1_SX300.jpg,43,6.3,"213,770","$104,565,114 "
666,667,11/10/2017,Murder on the Orient Express,55000000,102826543,345924923,20th Century Fox,PG-13,Drama,Kenneth Branagh,"Michael Green, Agatha Christie","Kenneth Branagh, Penélope Cruz, Willem Dafoe",114 min,"English, French, Arabic, German","United Kingdom, Malta, United States",2 wins & 25 nominations,https://m.media-amazon.com/images/M/MV5BMTk5OGFiYzktMTkwNS00ZjQ5LWFkNGQtNGM0MjA4MWE2MDIwXkEyXkFqcGdeQXVyODY1NDk1NjE@._V1_SX300.jpg,52,6.5,"279,794","$102,826,543 "
667,668,9/26/2014,The Equalizer,55000000,101530738,192903624,Sony Pictures,R,Action,Antoine Fuqua,"Richard Wenk, Michael Sloan, Richard Lindheim","Denzel Washington, Marton Csokas, Chloë Grace Moretz",132 min,"English, Russian, Spanish, German, Ukrainian",United States,1 win & 9 nominations,https://m.media-amazon.com/images/M/MV5BMTQ2MzE2NTk0NF5BMl5BanBnXkFtZTgwOTM3NTk1MjE@._V1_SX300.jpg,57,7.2,"399,881","$101,530,738 "
668,669,2/9/2018,Fifty Shades Freed,55000000,100407760,371222158,Universal,R,Drama,James Foley,"Niall Leonard, E.L. James","Dakota Johnson, Jamie Dornan, Eric Johnson",105 min,English,"United States, China",6 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BMTYxOTQ1MzI0Nl5BMl5BanBnXkFtZTgwMzgwMzIxNDM@._V1_SX300.jpg,31,4.5,"71,126","$100,407,760 "
669,670,5/26/1995,Casper,55000000,100328194,282300000,Universal,PG,Comedy,Brad Silberling,"Joseph Oriolo, Sherri Stoner, Deanna Oliver","Bill Pullman, Christina Ricci, Cathy Moriarty",100 min,English,United States,5 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BZmQzZThjNDQtMjAxNC00YzhjLWFkNmItZDg4NjkxNjZkMjMxXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,49,6.1,"143,054","$100,328,194 "
670,671,4/9/2010,Date Night,55000000,98711404,152269033,20th Century Fox,PG-13,Comedy,Shawn Levy,Josh Klausner,"Steve Carell, Tina Fey, Mark Wahlberg",88 min,"English, Hebrew",United States,4 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BYzI1Yzc1OTAtNDE2Zi00MTM1LTkwOTctNzU5Mjg2ZWJmMDE4XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,56,6.3,"169,374","$98,711,404 "
671,672,5/12/1995,Crimson Tide,55000000,91387195,159387195,Walt Disney,R,Action,Tony Scott,"Michael Schiffer, Richard P. Henrick","Gene Hackman, Denzel Washington, Matt Craven",116 min,English,United States,Nominated for 3 Oscars. 5 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BMmFkY2IxNTAtMWRiNS00MWU2LWI1NDYtY2YxYTQyYTk5OTBhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,66,7.3,"120,213","$91,387,195 "
672,673,12/9/1994,Disclosure,55000000,83015089,212200000,Warner Bros.,R,Drama,Barry Levinson,"Michael Crichton, Paul Attanasio","Michael Douglas, Demi Moore, Donald Sutherland",128 min,English,United States,2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BNGQxNTFkNjUtM2EwNi00ZThlLTkzMDItODhkMDIyYzM1Y2MzXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,58,6.1,"53,212","$83,015,089 "
673,674,4/10/1998,City of Angels,55000000,78750909,198750909,Warner Bros.,PG-13,Drama,Brad Silberling,"Wim Wenders, Peter Handke, Richard Reitinger","Nicolas Cage, Meg Ryan, Andre Braugher",114 min,English,"United States, Germany",10 wins & 14 nominations,https://m.media-amazon.com/images/M/MV5BZjk2OTEwNDEtNjVhYi00MzI3LWFhNzctZGUzOWMxMDMwZjJlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,54,6.7,"125,537","$78,685,114 "
674,675,1/16/2015,Paddington,55000000,76223578,258789097,Weinstein Co.,PG,Adventure,Paul King,"Paul King, Hamish McColl, Michael Bond","Hugh Bonneville, Sally Hawkins, Julie Walters",95 min,English,"United Kingdom, France, United States, China",Nominated for 2 BAFTA 3 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BMTAxOTMwOTkwNDZeQTJeQWpwZ15BbWU4MDEyMTI1NjMx._V1_SX300.jpg,77,7.3,"126,913","$76,271,832 "
675,676,4/28/2006,R.V.,55000000,71724497,87473024,Sony Pictures,PG,Adventure,N/A,N/A,"Anthony Franzzo, Erica Franzzo, Blair Herter, Vivica Johnson",N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZDU3N2I2MzUtOGYxMS00YzA3LTgyMzQtNGViZGE1NmU4ZDU3XkEyXkFqcGdeQXVyMjg3OTQ2NTI@._V1_SX300.jpg,N/A,N/A,N/A,N/A
676,677,10/28/1994,Stargate,55000000,71565669,196565669,MGM,PG-13,Action,Roland Emmerich,"Dean Devlin, Roland Emmerich","Kurt Russell, James Spader, Jaye Davidson",116 min,"English, Norwegian, Swedish, Egyptian (Ancient), Arabic","United States, France",6 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BYWEyYTQzNzQtZTg5OS00NDhkLTg1NjYtMzA5Y2MyYjYzNWQ5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,42,7,"200,189","$71,567,262 "
677,678,10/10/2003,Kill Bill: Volume 1,55000000,70098138,176469428,Miramax,R,Action,Movie not found,Movie not found,Movie not found,Movie not found,Movie not found,Movie not found,Movie not found,Movie not found,Movie not found,Movie not found,Movie not found,Movie not found
678,679,6/17/2011,Mr. Poppers's Penguins,55000000,68224452,189624452,20th Century Fox,PG,Adventure,Movie not found,Movie not found,Movie not found,Movie not found,Movie not found,Movie not found,Movie not found,Movie not found,Movie not found,Movie not found,Movie not found,Movie not found
679,680,8/13/1999,Bowfinger,55000000,66458769,98699769,Universal,PG-13,Comedy,Frank Oz,Steve Martin,"Steve Martin, Eddie Murphy, Heather Graham",97 min,English,United States,6 nominations,https://m.media-amazon.com/images/M/MV5BYTJlNzcyMjctOGE5Mi00MzU4LWI1MzUtOGZiYzZlMzYxZmFlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,71,6.5,"72,879","$66,384,775 "
680,681,4/16/2004,Kill Bill: Volume 2,55000000,66207920,153535982,Miramax,R,Action,N/A,N/A,"Lawrence Bender, David Carradine, Vivica A. Fox",26 min,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZDYyZWE0ZjQtMzQyOC00MGYyLWI3ZTctNTVhZmU2YjUxMzk2XkEyXkFqcGdeQXVyMTMyNTQwNTg@._V1_SX300.jpg,N/A,7.1,"1,247",N/A
681,682,12/22/1989,Tango & Cash,55000000,63408614,63408614,Warner Bros.,R,Action,Carlos Saura,Carlos Saura,"Miguel Ángel Solá, Cecilia Narova, Mía Maestro",115 min,Spanish,"Spain, Argentina",Nominated for 1 Oscar. 8 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BMjUyYTNmMDQtZjgwYy00NWFmLWIwZDItODg5NjQ1OTM5ODc2XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,N/A,7,"3,032","$1,897,948 "
682,683,7/31/1992,Death Becomes Her,55000000,58422650,149022650,Universal,PG-13,Comedy,Robert Zemeckis,"Martin Donovan, David Koepp","Meryl Streep, Bruce Willis, Goldie Hawn",104 min,English,United States,Won 1 Oscar. 5 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BMWI1MDUxNzgtZTdjMC00MmFmLTlmYjUtNWM5YzRmNjMwMDY2XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg,56,6.6,"127,459","$58,422,650 "
683,684,11/1/2013,Free Birds,55000000,55750480,110387072,Relativity,PG,Adventure,Jimmy Hayward,"Scott Mosier, Jimmy Hayward, David I. Stern","Woody Harrelson, Owen Wilson, Dan Fogler",91 min,English,"United States, Canada",2 nominations,https://m.media-amazon.com/images/M/MV5BNjE0NjIwMzAwOF5BMl5BanBnXkFtZTgwOTIyMzMzMDE@._V1_SX300.jpg,38,5.8,"25,368","$55,750,480 "
684,685,5/22/1992,Alien 3,55000000,54927174,158500000,20th Century Fox,R,Action,Paul Bernard,Patricia Sullivan,"Michael Biehn, Ralph Brown, James Cameron",22 min,English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BNWNiZDgzNzUtNDIyNi00YzY4LTllNWUtNGZhNmM0NGU5YWM1XkEyXkFqcGdeQXVyNjczMDA1NjU@._V1_SX300.jpg,N/A,6.7,129,N/A
685,686,4/18/2008,The Forbidden Kingdom,55000000,52075270,129075270,Lionsgate,PG-13,Action,Rob Minkoff,John Fusco,"Jackie Chan, Jet Li, Michael Angarano",104 min,"English, Mandarin","United States, China, Hong Kong",5 nominations,https://m.media-amazon.com/images/M/MV5BMTUwNTExMTg3NF5BMl5BanBnXkFtZTcwNDYyMTM2MQ@@._V1_SX300.jpg,57,6.5,"108,461","$52,075,270 "
686,687,3/21/2014,Muppets Most Wanted,55000000,51178893,79312301,Walt Disney,PG,Adventure,James Bobin,"James Bobin, Nicholas Stoller, Jim Henson","Ricky Gervais, Ty Burrell, Tina Fey",107 min,"English, German","United States, United Kingdom",Nominated for 1 BAFTA Award3 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BNDY2MTE0ODM4NF5BMl5BanBnXkFtZTgwMDI3Mjc2MDE@._V1_SX300.jpg,61,6.4,"36,388","$51,183,113 "
687,688,8/19/2016,Kubo and the Two Strings,55000000,48023088,77548564,Focus Features,PG,Adventure,Travis Knight,"Marc Haimes, Chris Butler, Shannon Tindle","Charlize Theron, Art Parkinson, Matthew McConaughey",101 min,English,"United Kingdom, United States",Nominated for 2 Oscars. 33 wins & 67 nominations total,https://m.media-amazon.com/images/M/MV5BMjA2Mzg2NDMzNl5BMl5BanBnXkFtZTgwMjcwODUzOTE@._V1_SX300.jpg,84,7.7,"135,928","$48,023,088 "
688,689,9/25/1998,Ronin,55000000,41610884,70692101,MGM,R,Action,John Frankenheimer,"J.D. Zeik, David Mamet","Robert De Niro, Jean Reno, Natascha McElhone",122 min,"English, French, Russian","United Kingdom, France, United States",1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BOWVkYzliZGEtODIxMi00MDQwLThjMDAtNzI3M2NjYjg4NDE5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,67,7.2,"190,790","$41,616,262 "
689,690,11/24/2010,Burlesque,55000000,39440655,90552675,Sony Pictures,PG-13,Drama,Steve Antin,Steve Antin,"Cher, Christina Aguilera, Alan Cumming",119 min,"English, Ukrainian",United States,6 wins & 21 nominations,https://m.media-amazon.com/images/M/MV5BMjM1ZmI4NmUtMDJmMC00N2NkLTg1NGYtMDUyZDZlMmExNGNiXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_SX300.jpg,47,6.4,"90,838","$39,440,655 "
690,691,10/11/1996,The Ghost and the Darkness,55000000,38564422,38564422,Paramount Pictures,R,Action,Stephen Hopkins,William Goldman,"Michael Douglas, Val Kilmer, Tom Wilkinson",110 min,"English, Hindi","United States, Germany",Won 1 Oscar. 1 win & 5 nominations total,https://m.media-amazon.com/images/M/MV5BOWIwMDIxMDktZTlhYS00YTU3LTg4ZTItNGI4NTU3ZTMzZTViXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg,46,6.8,"64,859","$38,619,405 "
691,692,7/27/2012,The Watch,55000000,34353000,67130045,20th Century Fox,R,Comedy,Akiva Schaffer,"Jared Stern, Seth Rogen, Evan Goldberg","Ben Stiller, Vince Vaughn, Jonah Hill",102 min,English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BMjU5MzI1NTk1MV5BMl5BanBnXkFtZTcwMzk5NzY5Nw@@._V1_SX300.jpg,36,5.7,"131,446","$35,353,000 "
692,693,6/4/1999,Instinct,55000000,34105207,34105207,Walt Disney,R,Drama,Jon Turteltaub,"Gerald Di Pego, Daniel Quinn","Anthony Hopkins, Cuba Gooding Jr., Donald Sutherland",126 min,English,United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BMmM4N2M1ZDgtODM1Mi00YjFiLThjZGQtY2YzMGI1ZjAzYzFjXkEyXkFqcGdeQXVyMzExODEzNDA@._V1_SX300.jpg,43,6.5,"33,963","$34,105,207 "
693,694,12/12/2003,Stuck On You,55000000,33832741,63537164,20th Century Fox,PG-13,Comedy,"Bobby Farrelly, Peter Farrelly","Charles B. Wessler, Bennett Yellin, Peter Farrelly","Matt Damon, Greg Kinnear, Eva Mendes",118 min,English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BMTYwODE1MTc3NF5BMl5BanBnXkFtZTcwMjQxMzQyMQ@@._V1_SX300.jpg,62,5.8,"54,597","$33,832,741 "
694,695,2/29/2008,Semi-Pro,55000000,33479698,43980363,New Line,R,Comedy,Kent Alterman,Scot Armstrong,"Will Ferrell, Woody Harrelson, André 3000",91 min,English,United States,1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BMTc1MjQ4NTc3M15BMl5BanBnXkFtZTcwMTc3NTg1MQ@@._V1_SX300.jpg,47,5.8,"84,948","$33,479,698 "
695,696,10/16/2015,Crimson Peak,55000000,31090320,75466595,Universal,R,Horror,Guillermo del Toro,"Guillermo del Toro, Matthew Robbins","Mia Wasikowska, Jessica Chastain, Tom Hiddleston",119 min,English,"United States, Mexico",6 wins & 42 nominations,https://m.media-amazon.com/images/M/MV5BZmNkYzk3YjItOTMwYy00ZWViLWIxMTUtZDJiZmY0ZWExYjVmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,66,6.5,"155,016","$31,090,320 "
696,697,4/27/2012,The Pirates! Band of Misfits,55000000,31051126,136143605,Sony Pictures,PG,Adventure,"Peter Lord, Jeff Newitt",Gideon Defoe,"Hugh Grant, Salma Hayek, Jeremy Piven",88 min,English,"United Kingdom, United States",Nominated for 1 Oscar. 20 nominations total,https://m.media-amazon.com/images/M/MV5BNDhkOGZkZWMtNGI4Mi00ZWI3LTgyYTgtMDU4ZDI3NTNjMWFiXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg,73,6.7,"50,570","$31,051,126 "
697,698,12/2/2005,Aeon Flux,55000000,25857987,53913573,Paramount Pictures,PG-13,Action,N/A,N/A,"David Gale, Phil Hay, Matt Manfredi, Peter Chung",21 min,English,USA,N/A,N/A,N/A,5.4,186,N/A
698,699,10/12/2007,Elizabeth: The Golden Age,55000000,16285240,74870866,Universal,PG-13,Drama,Shekhar Kapur,"William Nicholson, Michael Hirst","Cate Blanchett, Clive Owen, Geoffrey Rush",114 min,"English, Spanish, Swedish","United Kingdom, France, United States, Germany",Won 1 Oscar. 8 wins & 33 nominations total,https://m.media-amazon.com/images/M/MV5BMTgzODIwNzcyMF5BMl5BanBnXkFtZTcwMTg0MTQ1MQ@@._V1_SX300.jpg,45,6.8,"74,071","$16,383,509 "
699,700,6/12/2009,Imagine That,55000000,16222392,16222392,Paramount Pictures,PG,Adventure,Karey Kirkpatrick,"Ed Solomon, Chris Matheson","Eddie Murphy, Thomas Haden Church, Yara Shahidi",107 min,English,"United States, Germany, United Kingdom",1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BMjIwMjgwMjg4M15BMl5BanBnXkFtZTcwNTU2ODkzMg@@._V1_SX300.jpg,54,5.6,"15,603","$16,123,323 "
700,701,2/21/2003,Gods and Generals,55000000,12882934,12923936,Warner Bros.,PG-13,Drama,Ron Maxwell,"Jeff Shaara, Ron Maxwell","Stephen Lang, Robert Duvall, Jeff Daniels",219 min,English,United States,1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BMTU1NzExNjU3OF5BMl5BanBnXkFtZTYwNzc0MDg5._V1_SX300.jpg,30,6.2,"16,955","$12,882,934 "
701,702,2/1/2013,Bullet to the Head,55000000,9489829,22597969,Warner Bros.,R,Action,Walter Hill,"Alessandro Camon, Alexis Nolent, Colin Wilson","Sylvester Stallone, Jason Momoa, Christian Slater",92 min,English,"United States, India, Switzerland",1 nomination,https://m.media-amazon.com/images/M/MV5BMTM4NzUyMjk2NV5BMl5BanBnXkFtZTcwOTUxNDc5OA@@._V1_SX300.jpg,48,5.7,"51,613","$9,489,829 "
702,703,9/22/2006,All the King's Men,55000000,7221458,9521458,Sony Pictures,PG-13,Drama,Steven Zaillian,"Steven Zaillian, Robert Penn Warren","Sean Penn, Jude Law, Kate Winslet",128 min,English,"Germany, United States",2 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BMzY1MTIyNDg4MF5BMl5BanBnXkFtZTcwODQ4MTEzMw@@._V1_SX300.jpg,37,6.1,"25,294","$7,221,458 "
703,704,7/30/2004,Thunderbirds,55000000,6768055,28231444,Universal,PG,Adventure,Jonathan Frakes,"Gerry Anderson, Sylvia Anderson, Peter Hewitt","Bill Paxton, Anthony Edwards, Ben Kingsley",95 min,English,"United Kingdom, France, United States",1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMTU2NDA1NTkyN15BMl5BanBnXkFtZTYwNzAzODg2._V1_SX300.jpg,36,4.3,"14,324","$6,880,917 "
704,705,11/26/2004,Un long dimanche de fiançailles,55000000,6167817,69759296,Warner Bros.,R,Drama,Julien Lecat,N/A,"Dominique Bettenfeld, Aline Bonetto, Alain Carsoux",26 min,French,France,N/A,https://m.media-amazon.com/images/M/MV5BMjEwYTczMDAtZGU5ZS00YmU3LTkyOTMtYWNmYzVhZDUzZGUwXkEyXkFqcGdeQXVyNDY0MDkxNDU@._V1_SX300.jpg,N/A,7.4,76,N/A
705,706,5/4/2007,Lucky You,55000000,5755286,6521829,Warner Bros.,PG-13,Drama,Curtis Hanson,"Eric Roth, Curtis Hanson","Eric Bana, Drew Barrymore, Robert Duvall",124 min,"English, Spanish","United States, Germany, Australia",2 nominations,https://m.media-amazon.com/images/M/MV5BNzcyMzgwNzU2N15BMl5BanBnXkFtZTcwMDcyODYzMw@@._V1_SX300.jpg,49,5.9,"20,994","$5,758,950 "
706,707,7/22/1998,Lolita,55000000,1147784,1147784,MGM,R,Drama,Stanley Kubrick,"Vladimir Nabokov, Stanley Kubrick, James B. Harris","James Mason, Shelley Winters, Sue Lyon",153 min,"English, French, Spanish, German","United Kingdom, United States",Nominated for 1 Oscar. 2 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BZTlmODM0ZTgtY2NkZS00Y2ZmLTkxMzktMTE4ZDg2NzNmNDkwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,79,7.5,"106,698",N/A
